,meanx,meany,stx,sty,s,i,r
122,1.28,1.21,0.001,0.0001291549665014884,0.9069770711725254,0.29960558718544517,0.9099999999999999
123,1.28,1.21,0.001,0.000145082877849594,0.9069765844599876,0.29960652597314535,0.9099999999999999
124,1.28,1.21,0.001,0.00016297508346206434,0.9069760377145057,0.2996075804632456,0.9099999999999999
125,1.28,1.21,0.001,0.0001830738280295368,0.9069754235300614,0.29960876490560273,0.9099999999999999
126,1.28,1.21,0.001,0.00020565123083486514,0.9069747335866396,0.2996100953024379,0.9099999999999999
127,1.28,1.21,0.001,0.0002310129700083158,0.9069739585373361,0.2996115896231457,0.9099999999999999
128,1.28,1.21,0.001,0.00025950242113997375,0.9069730878815008,0.2996132680452448,0.9099999999999999
129,1.28,1.21,0.001,0.0002915053062825176,0.9069721098221774,0.29961515322461707,0.9099999999999999
130,1.28,1.21,0.001,0.00032745491628777284,0.9069710111058914,0.2996172705985299,0.9099999999999999
131,1.28,1.21,0.001,0.0003678379771828634,0.9069697768425892,0.29961964872533986,0.9099999999999999
132,1.28,1.21,0.001,0.00041320124001153346,0.9069683903032543,0.2996223196652286,0.9099999999999999
133,1.28,1.21,0.001,0.0004641588833612782,0.9069668326924223,0.2996253194067982,0.9099999999999999
134,1.28,1.21,0.001,0.0005214008287999684,0.9069650828924569,0.2996286883449009,0.9099999999999999
135,1.28,1.21,0.001,0.0005857020818056667,0.9069631171760584,0.299632471815658,0.9099999999999999
136,1.28,1.21,0.001,0.0006579332246575682,0.9069609088830252,0.29963672069526776,0.9099999999999999
137,1.28,1.21,0.001,0.0007390722033525775,0.9069584280567821,0.2996414920698992,0.9099999999999999
138,1.28,1.21,0.001,0.0008302175681319744,0.9069556410356203,0.29964684998470753,0.9099999999999999
139,1.28,1.21,0.001,0.0009326033468832199,0.9069525099929363,0.2996528662808272,0.9099999999999999
140,1.28,1.21,0.001,0.001047615752789665,0.9069489924200272,0.29965962153003606,0.9099999999999999
141,1.28,1.21,0.001,0.0011768119524349979,0.9069450405441625,0.29966720607768865,0.9099999999999999
142,1.28,1.21,0.001,0.0013219411484660286,0.9069406006737004,0.2996757212054427,0.9099999999999999
143,1.28,1.21,0.001,0.001484968262254465,0.9069356124609381,0.2996852804262512,0.9099999999999999
144,1.28,1.21,0.001,0.0016681005372000592,0.906930008072153,0.29969601092501963,0.9099999999999999
145,1.28,1.21,0.001,0.001873817422860383,0.9069237112528817,0.29970805515924137,0.9099999999999999
146,1.28,1.21,0.001,0.00210490414451202,0.9069166362748868,0.29972157263471494,0.9099999999999999
147,1.28,1.21,0.001,0.002364489412645407,0.906908686749401,0.2997367418721284,0.9099999999999999
148,1.28,1.21,0.001,0.0026560877829466868,0.9068997542891377,0.29975376258071706,0.9099999999999999
149,1.28,1.21,0.001,0.0029836472402833404,0.9068897169991151,0.299772858055303,0.9099999999999999
150,1.28,1.21,0.001,0.003351602650938841,0.9068784377735227,0.2997942778126375,0.9099999999999999
151,1.28,1.21,0.001,0.0037649358067924675,0.9068657623726157,0.2998183004819174,0.9099999999999999
152,1.28,1.21,0.001,0.0042292428743894986,0.9068515172498282,0.2998452369623857,0.9099999999999999
153,1.28,1.21,0.001,0.0047508101621027985,0.9068355070949077,0.29987543385774956,0.9099999999999999
154,1.28,1.21,0.001,0.005336699231206307,0.906817512053699,0.29990927719235494,0.9099999999999999
155,1.28,1.21,0.001,0.005994842503189409,0.9067972845791799,0.29994719640712036,0.9099999999999999
156,1.28,1.21,0.001,0.006734150657750821,0.9067745458611887,0.29998966862352566,0.9099999999999999
157,1.28,1.21,0.001,0.007564633275546291,0.9067489817738565,0.300037223150599,0.9099999999999999
158,1.28,1.21,0.001,0.008497534359086439,0.9067202382696549,0.30009044619182823,0.9099999999999999
159,1.28,1.21,0.001,0.009545484566618337,0.9066879161369498,0.30014998568484696,0.9099999999999999
160,1.28,1.21,0.001,0.010722672220103232,0.906651565023419,0.30021655617491777,0.9099999999999999
161,1.28,1.21,0.001,0.012045035402587823,0.906610676610125,0.30029094358149566,0.9099999999999999
162,1.28,1.21,0.001,0.013530477745798061,0.906564676799627,0.3003740096626798,0.908
163,1.28,1.21,0.001,0.01519911082952933,0.9065129167552423,0.30046669591173386,0.908
164,1.28,1.21,0.001,0.017073526474706904,0.9064546625961288,0.30057002652852055,0.908
165,1.28,1.21,0.001,0.019179102616724886,0.9063890835125001,0.30068510999103504,0.908
166,1.28,1.21,0.001,0.021544346900318846,0.9063152380146905,0.30081313860088255,0.908
167,1.28,1.21,0.001,0.02420128264794381,0.9062320579658966,0.3009553851821377,0.907
168,1.28,1.21,0.001,0.027185882427329403,0.9061383299670395,0.30111319586327345,0.905
169,1.28,1.21,0.001,0.030538555088334154,0.9060326735577297,0.3012879775506193,0.9040000000000001
170,1.28,1.21,0.001,0.03430469286314919,0.9059135155620199,0.30148117828752924,0.9030000000000001
171,1.28,1.21,0.001,0.03853528593710527,0.9057790597309572,0.3016942581567878,0.9030000000000001
172,1.28,1.21,0.001,0.04328761281083057,0.9056272506011626,0.30192864768389105,0.9030000000000001
173,1.28,1.21,0.001,0.04862601580065353,0.9054557301793686,0.30218568977746296,0.9020000000000001
174,1.28,1.21,0.001,0.05462277217684343,0.9052617856484876,0.3024665600143127,0.9020000000000001
175,1.28,1.21,0.001,0.061359072734131694,0.9050422857316189,0.3027721584097569,0.9020000000000001
176,1.28,1.21,0.001,0.06892612104349695,0.9047936025915492,0.3031029635017603,0.9010000000000001
177,1.28,1.21,0.001,0.0774263682681127,0.9045115151110188,0.30345883627834824,0.9
178,1.28,1.21,0.001,0.08697490026177834,0.9041910880003379,0.3038387566001737,0.898
179,1.28,1.21,0.001,0.09770099572992247,0.9038265193157253,0.3042404672367073,0.897
180,1.28,1.21,0.001,0.10974987654930568,0.9034109466035213,0.30465998836443753,0.8940000000000001
181,1.28,1.21,0.001,0.12328467394420659,0.9029361992480995,0.3050909440731119,0.8910000000000002
182,1.28,1.21,0.001,0.13848863713938717,0.9023924829331662,0.30552360250584515,0.8879999999999999
183,1.28,1.21,0.001,0.15556761439304723,0.9017679861238929,0.3059434492567385,0.882
184,1.28,1.21,0.001,0.1747528400007683,0.9010484251797857,0.3063289252454048,0.876
185,1.28,1.21,0.001,0.19630406500402725,0.9002166594199181,0.30664746193360554,0.868
186,1.28,1.21,0.001,0.22051307399030456,0.8992529960678463,0.3068473574689804,0.859
187,1.28,1.21,0.001,0.2477076355991709,0.8981392550997235,0.30683638361763765,0.8469999999999999
188,1.28,1.21,0.001,0.2782559402207126,0.8968879952801956,0.30639324413706215,0.8280000000000001
189,1.28,1.21,0.001,0.31257158496882353,0.8965095516863346,0.30289171051699565,0.7969999999999999
190,1.28,1.21,0.001,0.3511191734215127,0.8916705617929196,0.30816340319256674,0.778
191,1.28,1.21,0.001,0.3944206059437656,0.8885740725503505,0.3067849044261035,0.7330000000000001
192,1.28,1.21,0.001,0.44306214575838776,0.8838519243888733,0.30781807598119476,0.6759999999999999
193,1.28,1.21,0.001,0.49770235643321137,0.8738160611641479,0.31836099747069885,0.6220000000000001
194,1.28,1.21,0.001,0.5590810182512223,0.8851680000593743,0.2915717394186589,0.5860000000000001
195,1.28,1.21,0.001,0.6280291441834247,0.8848660814272622,0.28778341764805754,0.54
196,1.28,1.21,0.001,0.7054802310718645,0.889420575600467,0.27691141205242953,0.499
