,meanx,meany,stx,sty,s,i,r
4,1,1.4,0.0001,0.01,0.90666549,0.363538101,0.91
104,1,1.4,0.0001,0.016681005,0.906452997,0.363933767,0.91
204,1,1.4,0.0001,0.027825594,0.906094765,0.364577219,0.908
304,1,1.4,0.0001,0.046415888,0.905486515,0.365604678,0.902
404,1,1.4,0.0001,0.077426368,0.904441111,0.367191424,0.9
504,1,1.4,0.0001,0.129154967,0.902605435,0.369483818,0.892
604,1,1.4,0.0001,0.215443469,0.899249025,0.372284931,0.87
704,1,1.4,0.0001,0.359381366,0.892693787,0.372976578,0.796
804,1,1.4,0.0001,0.59948425,0.87992472,0.371025526,0.628
904,1,1.4,0.0001,1,0.851409807,0.423305218,0.442
1004,1,1.4,0.001,0.01,0.906640001,0.363587444,0.91
1104,1,1.4,0.001,0.016681005,0.906427567,0.363983002,0.91
1204,1,1.4,0.001,0.027825594,0.906069438,0.364626271,0.91
1304,1,1.4,0.001,0.046415888,0.905461365,0.36565341,0.902
1404,1,1.4,0.001,0.077426368,0.90441628,0.367239584,0.9
1504,1,1.4,0.001,0.129154967,0.902581194,0.36953092,0.892
1604,1,1.4,0.001,0.215443469,0.899225939,0.372329967,0.87
1704,1,1.4,0.001,0.359381366,0.892673014,0.37301749,0.796
1804,1,1.4,0.001,0.59948425,0.879912462,0.371051017,0.628
1904,1,1.4,0.001,1,0.851371935,0.423377622,0.442
2004,1,1.4,0.01,0.01,0.906372779,0.364105834,0.91
2104,1,1.4,0.01,0.016681005,0.906160951,0.364500299,0.91
2204,1,1.4,0.01,0.027825594,0.90580386,0.365141695,0.91
2304,1,1.4,0.01,0.046415888,0.905197597,0.366165569,0.9
2404,1,1.4,0.01,0.077426368,0.904155747,0.367745915,0.9
2504,1,1.4,0.01,0.129154967,0.902326657,0.370026464,0.892
2604,1,1.4,0.01,0.215443469,0.89898314,0.372804432,0.87
2704,1,1.4,0.01,0.359381366,0.892453737,0.373449889,0.796
2804,1,1.4,0.01,0.59948425,0.879779804,0.371326298,0.628
2904,1,1.4,0.01,1,0.850987477,0.424113839,0.442
3004,1,1.4,0.1,0.01,0.902308544,0.372091917,0.908
3104,1,1.4,0.1,0.016681005,0.90210369,0.372473408,0.908
3204,1,1.4,0.1,0.027825594,0.901758566,0.37309256,0.904
3304,1,1.4,0.1,0.046415888,0.901173179,0.374077676,0.904
3404,1,1.4,0.1,0.077426368,0.900168668,0.375588814,0.9
3504,1,1.4,0.1,0.129154967,0.898408874,0.37774122,0.892
3604,1,1.4,0.1,0.215443469,0.895201318,0.380268507,0.87
3704,1,1.4,0.1,0.359381366,0.888946058,0.380410273,0.798
3804,1,1.4,0.1,0.59948425,0.877278968,0.376436734,0.632
3904,1,1.4,0.1,1,0.846401069,0.433008944,0.444
4004,1,1.4,1,0.01,0.800261825,0.583140247,0.854
4104,1,1.4,1,0.016681005,0.800140312,0.583358709,0.854
4204,1,1.4,1,0.027825594,0.799937257,0.583700564,0.854
4304,1,1.4,1,0.046415888,0.799597257,0.584208393,0.854
4404,1,1.4,1,0.077426368,0.799025201,0.584882877,0.85
4504,1,1.4,1,0.129154967,0.798050859,0.585527825,0.848
4604,1,1.4,1,0.215443469,0.796334792,0.585226963,0.832
4704,1,1.4,1,0.359381366,0.792923964,0.580086658,0.786
4804,1,1.4,1,0.59948425,0.792419808,0.555576321,0.672
4904,1,1.4,1,1,0.743466777,0.642323134,0.488
